Day,Morocco,Cape Town,DR,Puerto Rico,Istanbul,Oaxaca,France
1,10471,10424,37375,11079,18287,7183,16923
2,17526,19524,20671,21814,28419,20514,18736
3,21622,15733,23766,14197,11858,17395,10995
4,19222,10937,18258,13121,8733,18964,18101
5,17019,22657,12862,6000,4881,13557,23418
6,6569,3218,9097,,29201,,19857
7,19857,4517,,,26815,,14352
8,13760,12356,,,19518,,16158
9,16162,13246,,,14227,,15946
10,10507,11614,,,7246,,28709
11,7908,5184,,,14393,,20127
12,,16701,,,8443,,23461
13,,17247,,,11167,,28625
14,,13720,,,10181,,24751
15,,7487,,,,,9969
16,,,,,,,
17,,,,,,,
18,,,,,,,
