date,Steps Per day,ID
2017-08-30 ,490,1
2017-08-31 ,1812,2
2017-09-01 ,7455,3
2017-09-02 ,15738,4
2017-09-03 ,18747,5
2017-09-04 ,12787,6
2017-09-05 ,9065,7
2017-09-06 ,13045,8
2017-09-07 ,11988,9
2017-09-08 ,17972,10
2017-09-09 ,12302,11
2017-09-10 ,11300,12
2017-09-11 ,18767,13
2017-09-12 ,16855,14
2017-09-13 ,11394,15
2017-09-14 ,12024,16
2017-09-15 ,11472,17
2017-09-16 ,7116,18
2017-09-17 ,9111,19
2017-09-18 ,18208,20
2017-09-19 ,16171,21
2017-09-20 ,13184,22
2017-09-21 ,11728,23
2017-09-22 ,9016,24
2017-09-23 ,8002,25
2017-09-24 ,10757,26
2017-09-25 ,13742,27
2017-09-26 ,11306,28
2017-09-27 ,12816,29
2017-09-28 ,12407,30
2017-09-29 ,13561,31
2017-09-30 ,11509,32
2017-10-01 ,10080,33
2017-10-02 ,7869,34
2017-10-03 ,12038,35
2017-10-04 ,12978,36
2017-10-05 ,9151,37
2017-10-06 ,20084,38
2017-10-07 ,12981,39
2017-10-08 ,8876,40
2017-10-09 ,11207,41
2017-10-10 ,11434,42
2017-10-11 ,9713,43
2017-10-12 ,9361,44
2017-10-13 ,8933,45
2017-10-14 ,18829,46
2017-10-15 ,13439,47
2017-10-16 ,6768,48
2017-10-17 ,9309,49
2017-10-18 ,10809,50
2017-10-19 ,14100,51
2017-10-20 ,8934,52
2017-10-21 ,13553,53
2017-10-22 ,14892,54
2017-10-23 ,10633,55
2017-10-24 ,8443,56
2017-10-25 ,15469,57
2017-10-26 ,7272,58
2017-10-27 ,10971,59
2017-10-28 ,393,60
2017-10-29 ,3081,61
2017-10-30 ,11256,62
2017-10-31 ,16317,63
2017-11-01 ,13075,64
2017-11-02 ,14139,65
2017-11-03 ,10250,66
2017-11-04 ,17386,67
2017-11-05 ,6182,68
2017-11-06 ,19157,69
2017-11-07 ,15292,70
2017-11-08 ,11756,71
2017-11-09 ,10006,72
2017-11-10 ,14802,73
2017-11-11 ,49,74
2017-11-12 ,20867,75
2017-11-13 ,13994,76
2017-11-14 ,10904,77
2017-11-15 ,10898,78
2017-11-16 ,10952,79
2017-11-17 ,13418,80
2017-11-18 ,14727,81
2017-11-19 ,9802,82
2017-11-20 ,10693,83
2017-11-21 ,16424,84
2017-11-22 ,7914,85
2017-11-23 ,8494,86
2017-11-24 ,11078,87
2017-11-25 ,21608,88
2017-11-26 ,9689,89
2017-11-27 ,11495,90
2017-11-28 ,20470,91
2017-11-29 ,12889,92
2017-11-30 ,15106,93
2017-12-01 ,18396,94
2017-12-02 ,14080,95
2017-12-03 ,10835,96
2017-12-04 ,13864,97
2017-12-05 ,16145,98
2017-12-06 ,11346,99
2017-12-07 ,13132,100
2017-12-08 ,11886,101
2017-12-09 ,10760,102
2017-12-10 ,13810,103
